Decyzja Klasyfikacyjna;Artykuł Skazania;Korzyść majątkowa;środki odurzające;wiek obecnie;wiek w czasie popełnienia czynu;długośćwykonywanej kary;pozostały okres kary;stan cywilny;dzieci;miejsce przebywania rodziny;wykształcenie;liczba telefonów;telefony po zmianach;korespondencja;widzenia;przepustki losowe;przepustki w formie nagrody;przepustki regulaminowe;inne formy kontaktu;szczepienie;miejsce szczepienia;kompensacja widzeń ;kompensacja długością telefonów;kontakt z obrońcą;częstsza korespondencja;poczucie bezpieczeństwa;działania administracji;;Zakład
R2P;;A - WOLĘ NIE ODP.;B - TAK;C - 31-40;C - 31-40;C - 1 rok i 1 mc - 2 lata;C - 1 rok i 1 mc - 2 lata;F - wolny;A -  0 ;A - w mieście;D - zasadn. Zawodowe;A - racz. Codziennie;B - tyle sam;D - raczej nie;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;B - poza ZK;;;;;;;;2
R2P ;;A - WOLĘ NIE ODP.;C - NIE;B - 22-30;B - 22-30;B - 7 mc - 1 rok;B - 7 mc - 1 rok;C - w separacji;B - 1;B - okolice zakł. Maks 30 km;D - zasadn. Zawodowe;A - racz. Codziennie;B - tyle sam;C - rzadziej;C - raz w mc;A - 0;A - 0;A - 0;E - inne;A - tak;B - poza ZK;;;;;;;;2
R2P;284;C - NIE;C - NIE;E - >51;E - >51;B - 7 mc - 1 rok;A - 1- 6 mc;B - rozwiedziony;C - 2;C - 30-100 km;B - podstawowe;E - raczej nie;C - rzadziej;D - raczej nie;A - raczej nie;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;;;;;;;;2
R2;286;C - NIE;C - NIE;D - 41 - 50;C - 31-40;B - 7 mc - 1 rok;B - 7 mc - 1 rok;B - rozwiedziony;D - 3;C - 30-100 km;G - średnie;A - racz. Codziennie;B - tyle sam;C - rzadziej;B - raz na kilka mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;A - w ZK;;;;;;;;2
R2Z;279;B - TAK;C - NIE;C - 31-40;C - 31-40;C - 1 rok i 1 mc - 2 lata;B - 7 mc - 1 rok;F - wolny;A -  0 ;C - 30-100 km;F - średnie branżowe;A - racz. Codziennie;B - tyle sam;C - rzadziej;C - raz w mc;A - 0;A - 0;A - 0;E - inne;B - nie;;;;;;;;;2
R2P;278;C - NIE;C - NIE;C - 31-40;C - 31-40;B - 7 mc - 1 rok;A - 1- 6 mc;E - w związku partnerskim;B - 1;A - w mieście;B - podstawowe;A - racz. Codziennie;B - tyle sam;C - rzadziej;C - raz w mc;A - 0;A - 0;A - 0;D - telewizja, radio..;A - tak;B - poza ZK;;;;;;;;2
P2P;148;C;C;C;A;E;E;F;A;D;F;B;C;B;E;A;A;A;D;A;A;A;B;A;B;D;C;;1
P2;;C;B;B;B;D;A;E;B;D;C;A;B;C;E;A;A;A;D;B;;A;A;B;C;C;B;;1
P2P;148;C;A;B;A;E;B;F;A;D;G;B;C;C;D;A;A;A;D;A;A;B;B;B;C;C;C;;1
P2P;148;C;B;C;B;E;E;F;A;D;A;A;B;D;C;A;A;A;D;A;A;A;B;B;D;E;E;;1
